UserId,SessionId,ArticleID Served,Article Rank,Click,Time Spent (seconds),Ratings (0 - 5)
1,1,996,1,True,25,5
1,1,3043,2,False,0,0
1,1,4777,3,False,0,0
1,1,2180,4,True,51,0
1,1,4772,5,True,91,2
1,1,525,6,False,0,0
1,1,1979,7,True,56,3
1,1,868,8,False,0,0
1,1,3565,9,True,68,2
1,1,2091,10,False,0,0
1,2,1702,1,False,0,0
1,2,2507,2,True,91,3
1,2,933,3,True,52,2
1,2,4742,4,True,31,2
1,2,1170,5,False,0,0
1,2,1755,6,False,0,0
1,2,2964,7,True,63,0
1,2,3715,8,False,0,0
1,2,3328,9,True,66,0
1,2,177,10,False,0,0
1,3,1476,1,True,87,1
1,3,1040,2,False,0,0
1,3,372,3,False,0,0
1,3,1051,4,False,0,0
1,3,4481,5,False,0,0
1,3,3428,6,True,83,5
1,3,2098,7,True,49,2
1,3,2025,8,False,0,0
1,3,965,9,False,0,0
1,3,3699,10,False,0,0
1,4,3680,1,True,34,3
1,4,805,2,False,0,0
1,4,158,3,False,0,0
1,4,792,4,True,44,0
1,4,3437,5,False,0,0
1,4,4565,6,True,31,2
1,4,2116,7,False,0,0
1,4,4548,8,True,20,3
1,4,2664,9,True,16,3
1,4,2842,10,True,28,4
1,5,2489,1,True,46,1
1,5,1991,2,False,0,0
1,5,2949,3,True,92,1
1,5,3405,4,False,0,0
1,5,3463,5,False,0,0
1,5,1835,6,True,75,0
1,5,1609,7,True,15,1
1,5,1381,8,True,41,5
1,5,3980,9,False,0,0
1,5,1108,10,False,0,0
1,6,3300,1,False,0,0
1,6,698,2,False,0,0
1,6,607,3,True,62,0
1,6,3827,4,True,80,0
1,6,2201,5,True,99,5
1,6,4707,6,False,0,0
1,6,4305,7,False,0,0
1,6,4727,8,False,0,0
1,6,1903,9,True,89,1
1,6,4539,10,False,0,0
1,7,1255,1,True,19,5
1,7,1378,2,True,78,1
1,7,788,3,True,58,3
1,7,3943,4,False,0,0
1,7,3233,5,True,51,1
1,7,1883,6,False,0,0
1,7,2355,7,False,0,0
1,7,64,8,False,0,0
1,7,980,9,False,0,0
1,7,1413,10,False,0,0
1,8,2716,1,True,85,0
1,8,4554,2,False,0,0
1,8,1163,3,True,75,4
1,8,4525,4,False,0,0
1,8,113,5,True,74,3
1,8,783,6,False,0,0
1,8,528,7,False,0,0
1,8,3873,8,False,0,0
1,8,4000,9,True,81,0
1,8,1826,10,True,79,3
2,1,1850,1,False,0,0
2,1,1301,2,False,0,0
2,1,3627,3,True,59,1
2,1,438,4,False,0,0
2,1,3065,5,True,60,5
2,1,3474,6,False,0,0
2,1,868,7,False,0,0
2,1,2759,8,True,28,1
2,1,4137,9,True,59,4
2,1,3364,10,True,23,2
2,2,1252,1,True,56,1
2,2,1579,2,False,0,0
2,2,3057,3,False,0,0
2,2,4521,4,False,0,0
2,2,2509,5,True,37,5
2,2,4236,6,False,0,0
2,2,2480,7,False,0,0
2,2,2950,8,False,0,0
2,2,1759,9,False,0,0
2,2,2380,10,False,0,0
2,3,2058,1,False,0,0
2,3,4536,2,True,69,3
2,3,2693,3,True,23,2
2,3,3376,4,False,0,0
2,3,4255,5,False,0,0
2,3,2424,6,True,28,0
2,3,636,7,False,0,0
2,3,3118,8,True,84,3
2,3,4393,9,False,0,0
2,3,1018,10,True,57,4
2,4,1479,1,False,0,0
2,4,134,2,False,0,0
2,4,1952,3,True,97,4
2,4,1720,4,False,0,0
2,4,2149,5,False,0,0
2,4,3233,6,True,25,2
2,4,4185,7,False,0,0
2,4,180,8,False,0,0
2,4,2692,9,True,57,5
2,4,4667,10,False,0,0
